ServerName,Database,Table,Column
Oracle,localhost,XE,SYS_FBA_APP,FLAGS
Oracle,localhost,XE,SYS_FBA_APP,SPARE
Oracle,localhost,XE,SYS_FBA_APP_TABLES,OBJ#
Oracle,localhost,XE,SYS_FBA_APP_TABLES,APP#
Oracle,localhost,XE,SYS_FBA_APP_TABLES,FLAGS
Oracle,localhost,XE,SYS_FBA_APP_TABLES,SPARE
Oracle,localhost,XE,SYS_FBA_COLS,OBJ#
Oracle,localhost,XE,SYS_FBA_COLS,COLUMNNAME
Oracle,localhost,XE,SYS_FBA_COLS,FLAGS
Oracle,localhost,XE,SYS_FBA_COLS,SPARE
Oracle,localhost,XE,SYS_FBA_PERIOD,OBJ#
Oracle,localhost,XE,SYS_FBA_PERIOD,PERIODNAME
Oracle,localhost,XE,SYS_FBA_PERIOD,FLAGS
Oracle,localhost,XE,SYS_FBA_PERIOD,PERIODSTART
Oracle,localhost,XE,SYS_FBA_PERIOD,PERIODEND
Oracle,localhost,XE,SYS_FBA_PERIOD,SPARE
Oracle,localhost,XE,REDO_DB,DBID
Oracle,localhost,XE,REDO_DB,GLOBAL_DBNAME
Oracle,localhost,XE,REDO_DB,DBUNAME
Oracle,localhost,XE,REDO_DB,VERSION
Oracle,localhost,XE,REDO_DB,THREAD#
Oracle,localhost,XE,REDO_DB,RESETLOGS_SCN_BAS
Oracle,localhost,XE,REDO_DB,RESETLOGS_SCN_WRP
Oracle,localhost,XE,REDO_DB,RESETLOGS_TIME
Oracle,localhost,XE,REDO_DB,PRESETLOGS_SCN_BAS
Oracle,localhost,XE,REDO_DB,PRESETLOGS_SCN_WRP
Oracle,localhost,XE,REDO_DB,PRESETLOGS_TIME
Oracle,localhost,XE,REDO_DB,SEQNO_RCV_CUR
Oracle,localhost,XE,REDO_DB,SEQNO_RCV_LO
Oracle,localhost,XE,REDO_DB,SEQNO_RCV_HI
Oracle,localhost,XE,REDO_DB,SEQNO_DONE_CUR
Oracle,localhost,XE,REDO_DB,SEQNO_DONE_LO
Oracle,localhost,XE,REDO_DB,SEQNO_DONE_HI
Oracle,localhost,XE,REDO_DB,GAP_SEQNO
Oracle,localhost,XE,REDO_DB,GAP_RET
Oracle,localhost,XE,REDO_DB,GAP_DONE
Oracle,localhost,XE,REDO_DB,APPLY_SEQNO
Oracle,localhost,XE,REDO_DB,APPLY_DONE
Oracle,localhost,XE,REDO_DB,PURGE_DONE
Oracle,localhost,XE,REDO_DB,HAS_CHILD
Oracle,localhost,XE,REDO_DB,ERROR1
Oracle,localhost,XE,REDO_DB,STATUS
Oracle,localhost,XE,REDO_DB,CREATE_DATE
Oracle,localhost,XE,REDO_DB,TS1
Oracle,localhost,XE,REDO_DB,TS2
Oracle,localhost,XE,REDO_DB,GAP_NEXT_SCN
Oracle,localhost,XE,REDO_DB,GAP_NEXT_TIME
Oracle,localhost,XE,REDO_DB,CURSCN_TIME
Oracle,localhost,XE,REDO_DB,RESETLOGS_SCN
Oracle,localhost,XE,REDO_DB,PRESETLOGS_SCN
Oracle,localhost,XE,REDO_DB,GAP_RET2
Oracle,localhost,XE,REDO_DB,CURLOG
Oracle,localhost,XE,REDO_DB,ENDIAN
Oracle,localhost,XE,REDO_DB,ENQIDX
Oracle,localhost,XE,REDO_DB,SPARE4
Oracle,localhost,XE,REDO_DB,SPARE5
Oracle,localhost,XE,REDO_DB,SPARE6
Oracle,localhost,XE,REDO_DB,SPARE7
Oracle,localhost,XE,REDO_DB,TS3
Oracle,localhost,XE,REDO_DB,CURBLKNO
Oracle,localhost,XE,REDO_DB,SPARE8
Oracle,localhost,XE,REDO_DB,SPARE9
Oracle,localhost,XE,REDO_DB,SPARE10
Oracle,localhost,XE,REDO_DB,SPARE11
Oracle,localhost,XE,REDO_DB,SPARE12
Oracle,localhost,XE,REDO_DB,TENANT_KEY
Oracle,localhost,XE,REDO_LOG,TENANT_KEY
Oracle,localhost,XE,REDO_LOG,DBID
Oracle,localhost,XE,REDO_LOG,GLOBAL_DBNAME
Oracle,localhost,XE,REDO_LOG,DBUNAME
Oracle,localhost,XE,REDO_LOG,VERSION
Oracle,localhost,XE,REDO_LOG,THREAD#
Oracle,localhost,XE,REDO_LOG,RESETLOGS_SCN_BAS
Oracle,localhost,XE,REDO_LOG,RESETLOGS_SCN_WRP
Oracle,localhost,XE,REDO_LOG,RESETLOGS_TIME
Oracle,localhost,XE,REDO_LOG,PRESETLOGS_SCN_BAS
Oracle,localhost,XE,REDO_LOG,PRESETLOGS_SCN_WRP
Oracle,localhost,XE,REDO_LOG,PRESETLOGS_TIME
Oracle,localhost,XE,REDO_LOG,SEQUENCE#
Oracle,localhost,XE,REDO_LOG,DUPID
Oracle,localhost,XE,REDO_LOG,STATUS1
Oracle,localhost,XE,REDO_LOG,STATUS2
Oracle,localhost,XE,REDO_LOG,CREATE_TIME
Oracle,localhost,XE,REDO_LOG,CLOSE_TIME
Oracle,localhost,XE,REDO_LOG,DONE_TIME
Oracle,localhost,XE,REDO_LOG,FIRST_SCN_BAS
Oracle,localhost,XE,REDO_LOG,FIRST_SCN_WRP
Oracle,localhost,XE,REDO_LOG,FIRST_TIME
Oracle,localhost,XE,REDO_LOG,NEXT_SCN_BAS
Oracle,localhost,XE,REDO_LOG,NEXT_SCN_WRP
Oracle,localhost,XE,REDO_LOG,NEXT_TIME
Oracle,localhost,XE,REDO_LOG,FIRST_SCN
Oracle,localhost,XE,REDO_LOG,NEXT_SCN
Oracle,localhost,XE,REDO_LOG,RESETLOGS_SCN
Oracle,localhost,XE,REDO_LOG,BLOCKS
Oracle,localhost,XE,REDO_LOG,BLOCK_SIZE
Oracle,localhost,XE,REDO_LOG,OLD_BLOCKS
Oracle,localhost,XE,REDO_LOG,CREATE_DATE
Oracle,localhost,XE,REDO_LOG,ERROR1
Oracle,localhost,XE,REDO_LOG,ERROR2
Oracle,localhost,XE,REDO_LOG,FILENAME
Oracle,localhost,XE,REDO_LOG,TS1
Oracle,localhost,XE,REDO_LOG,TS2
Oracle,localhost,XE,REDO_LOG,ENDIAN
Oracle,localhost,XE,REDO_LOG,SPARE2
Oracle,localhost,XE,REDO_LOG,SPARE3
Oracle,localhost,XE,REDO_LOG,SPARE4
Oracle,localhost,XE,REDO_LOG,SPARE5
Oracle,localhost,XE,REDO_LOG,SPARE6
Oracle,localhost,XE,REDO_LOG,SPARE7
Oracle,localhost,XE,REDO_LOG,TS3
Oracle,localhost,XE,REDO_LOG,PRESETLOGS_SCN
Oracle,localhost,XE,REDO_LOG,SPARE8
Oracle,localhost,XE,REDO_LOG,SPARE9
Oracle,localhost,XE,REDO_LOG,SPARE10
Oracle,localhost,XE,REDO_LOG,OLD_STATUS1
Oracle,localhost,XE,REDO_LOG,OLD_STATUS2
Oracle,localhost,XE,REDO_LOG,OLD_FILENAME
Oracle,localhost,XE,AV_DUAL,C
Oracle,localhost,XE,AUDIT_ACTIONS,ACTION
Oracle,localhost,XE,AUDIT_ACTIONS,NAME
Oracle,localhost,XE,UNIFIED_MISC_AUDITED_ACTIONS,ACTION
Oracle,localhost,XE,UNIFIED_MISC_AUDITED_ACTIONS,NAME
Oracle,localhost,XE,ALL_UNIFIED_AUDIT_ACTIONS,TYPE
Oracle,localhost,XE,ALL_UNIFIED_AUDIT_ACTIONS,COMPONENT
